"","Name","Description","Unit","Period","Value"
"Finance, Real Estate And Business Services.554","Finance, Real Estate And Business Services","Constant 2010 Prices, Seasonally Adjusted","Annualised Percentage Change",2020 Q2,-34.2
"Finance, Real Estate And Business Services.555","Finance, Real Estate And Business Services","Constant 2010 Prices, Seasonally Adjusted","Annualised Percentage Change",2020 Q3,16.5
"General Government Services.550","General Government Services","Constant 2010 Prices, Seasonally Adjusted","Annualised Percentage Change",2019 Q2,3.3
"General Government Services.551","General Government Services","Constant 2010 Prices, Seasonally Adjusted","Annualised Percentage Change",2019 Q3,2.4
"General Government Services.552","General Government Services","Constant 2010 Prices, Seasonally Adjusted","Annualised Percentage Change",2019 Q4,-0.4
"General Government Services.553","General Government Services","Constant 2010 Prices, Seasonally Adjusted","Annualised Percentage Change",2020 Q1,1.2
"General Government Services.554","General Government Services","Constant 2010 Prices, Seasonally Adjusted","Annualised Percentage Change",2020 Q2,-1
"General Government Services.555","General Government Services","Constant 2010 Prices, Seasonally Adjusted","Annualised Percentage Change",2020 Q3,0.9
"Manufacturing.550","Manufacturing","Constant 2010 Prices, Seasonally Adjusted","Annualised Percentage Change",2019 Q2,2.1
"Manufacturing.551","Manufacturing","Constant 2010 Prices, Seasonally Adjusted","Annualised Percentage Change",2019 Q3,-4.4
"Manufacturing.552","Manufacturing","Constant 2010 Prices, Seasonally Adjusted","Annualised Percentage Change",2019 Q4,-1.8
"Manufacturing.553","Manufacturing","Constant 2010 Prices, Seasonally Adjusted","Annualised Percentage Change",2020 Q1,-8.5
"Manufacturing.554","Manufacturing","Constant 2010 Prices, Seasonally Adjusted","Annualised Percentage Change",2020 Q2,-74.9
"Manufacturing.555","Manufacturing","Constant 2010 Prices, Seasonally Adjusted","Annualised Percentage Change",2020 Q3,210.2
"Mining And Quarrying.550","Mining And Quarrying","Constant 2010 Prices, Seasonally Adjusted","Annualised Percentage Change",2019 Q2,17.4
"Mining And Quarrying.551","Mining And Quarrying","Constant 2010 Prices, Seasonally Adjusted","Annualised Percentage Change",2019 Q3,-6.1
"Mining And Quarrying.552","Mining And Quarrying","Constant 2010 Prices, Seasonally Adjusted","Annualised Percentage Change",2019 Q4,1.8
"Mining And Quarrying.553","Mining And Quarrying","Constant 2010 Prices, Seasonally Adjusted","Annualised Percentage Change",2020 Q1,-21.5
"Mining And Quarrying.554","Mining And Quarrying","Constant 2010 Prices, Seasonally Adjusted","Annualised Percentage Change",2020 Q2,-72
"Mining And Quarrying.555","Mining And Quarrying","Constant 2010 Prices, Seasonally Adjusted","Annualised Percentage Change",2020 Q3,288.3
"Personal Sevices.550","Personal Sevices","Constant 2010 Prices, Seasonally Adjusted","Annualised Percentage Change",2019 Q2,0.8
"Personal Sevices.551","Personal Sevices","Constant 2010 Prices, Seasonally Adjusted","Annualised Percentage Change",2019 Q3,0.4
"Personal Sevices.552","Personal Sevices","Constant 2010 Prices, Seasonally Adjusted","Annualised Percentage Change",2019 Q4,0.7
"Personal Sevices.553","Personal Sevices","Constant 2010 Prices, Seasonally Adjusted","Annualised Percentage Change",2020 Q1,0.5
"Personal Sevices.554","Personal Sevices","Constant 2010 Prices, Seasonally Adjusted","Annualised Percentage Change",2020 Q2,-32.7
"Personal Sevices.555","Personal Sevices","Constant 2010 Prices, Seasonally Adjusted","Annualised Percentage Change",2020 Q3,38.6
"Transport, Storage And Communication.550","Transport, Storage And Communication","Constant 2010 Prices, Seasonally Adjusted","Annualised Percentage Change",2019 Q2,-0.3
"Transport, Storage And Communication.551","Transport, Storage And Communication","Constant 2010 Prices, Seasonally Adjusted","Annualised Percentage Change",2019 Q3,-5.4
"Transport, Storage And Communication.552","Transport, Storage And Communication","Constant 2010 Prices, Seasonally Adjusted","Annualised Percentage Change",2019 Q4,-7.2
"Transport, Storage And Communication.553","Transport, Storage And Communication","Constant 2010 Prices, Seasonally Adjusted","Annualised Percentage Change",2020 Q1,0.5
"Transport, Storage And Communication.554","Transport, Storage And Communication","Constant 2010 Prices, Seasonally Adjusted","Annualised Percentage Change",2020 Q2,-69.4
"Transport, Storage And Communication.555","Transport, Storage And Communication","Constant 2010 Prices, Seasonally Adjusted","Annualised Percentage Change",2020 Q3,79.3
"Wholesale And Retail Trade, Hotels And Restaurants.550","Wholesale And Retail Trade, Hotels And Restaurants","Constant 2010 Prices, Seasonally Adjusted","Annualised Percentage Change",2019 Q2,3.4
"Wholesale And Retail Trade, Hotels And Restaurants.551","Wholesale And Retail Trade, Hotels And Restaurants","Constant 2010 Prices, Seasonally Adjusted","Annualised Percentage Change",2019 Q3,2.6
"Wholesale And Retail Trade, Hotels And Restaurants.552","Wholesale And Retail Trade, Hotels And Restaurants","Constant 2010 Prices, Seasonally Adjusted","Annualised Percentage Change",2019 Q4,-3.8
"Wholesale And Retail Trade, Hotels And Restaurants.553","Wholesale And Retail Trade, Hotels And Restaurants","Constant 2010 Prices, Seasonally Adjusted","Annualised Percentage Change",2020 Q1,-0.7
"Wholesale And Retail Trade, Hotels And Restaurants.554","Wholesale And Retail Trade, Hotels And Restaurants","Constant 2010 Prices, Seasonally Adjusted","Annualised Percentage Change",2020 Q2,-67.6
"Wholesale And Retail Trade, Hotels And Restaurants.555","Wholesale And Retail Trade, Hotels And Restaurants","Constant 2010 Prices, Seasonally Adjusted","Annualised Percentage Change",2020 Q3,137
